,displacement,horsepower,weight,cylinders_3,cylinders_4,cylinders_5,cylinders_6,cylinders_8,model year_70,model year_71,model year_72,model year_73,model year_74,model year_75,model year_76,model year_77,model year_78,model year_79,model year_80,model year_81,model year_82,origin_1,origin_2,origin_3,mpg
19,79.0,67.0,1950.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,29.179514370757182
20,116.0,75.0,2158.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.134552180771955
21,90.0,48.0,2085.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,38.42913986646011
22,318.0,150.0,3399.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13.864840310924475
23,400.0,170.0,4746.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.103490987899121
24,350.0,155.0,4360.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16.6351390094003
25,400.0,175.0,4464.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.654942978196225
26,304.0,150.0,4257.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.563712709712203
27,199.0,90.0,2648.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.999760229683233
28,151.0,84.0,2635.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,30.777144036238305
29,90.0,70.0,1937.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27.937191320097522
30,91.0,60.0,1800.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,33.54741555641445
31,198.0,95.0,2833.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.946194147595865
32,91.0,67.0,1965.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36.34591101408816
33,440.0,215.0,4735.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.780987182881361
34,198.0,95.0,2904.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16.95564431723092
35,112.0,88.0,2640.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,30.320700250036783
36,85.0,70.0,2070.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,31.690660789402678
37,225.0,95.0,3264.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,18.558163671871018
38,151.0,90.0,2556.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,27.16205141898345
39,97.0,52.0,2130.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,36.53742963578059
40,350.0,180.0,4499.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8.418736441303722
41,97.0,71.0,1825.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28.99870255446237
42,120.0,88.0,3270.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,23.235331895997604
43,68.0,49.0,1867.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,27.16081345051953
44,120.0,87.0,2979.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23.009131675976917
45,91.0,68.0,1970.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36.24808880505234
46,105.0,63.0,2125.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,33.93314899141497
47,198.0,95.0,3102.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,19.201546528980714
48,131.0,103.0,2830.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,28.622098269613975
49,97.0,88.0,2279.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23.847552253987082
50,151.0,85.0,2855.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,26.774251860974903
51,113.0,95.0,2228.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.414661104723955
52,98.0,80.0,1915.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,28.96991321380458
53,225.0,105.0,3121.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16.009218515963777
54,140.0,92.0,2865.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,29.854550423852807
55,351.0,152.0,4215.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,14.500642828913971
56,304.0,150.0,3672.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12.62953002476791
57,79.0,58.0,1825.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,31.757692720292162
58,304.0,150.0,3892.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.423103584018452
59,260.0,110.0,4060.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,18.514001657973097
60,304.0,150.0,3672.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14.168783935174037
61,97.0,75.0,2171.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,27.489875686423225
62,120.0,79.0,2625.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,31.276552881107996
63,302.0,140.0,3449.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.89974236343658
64,140.0,88.0,2890.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,25.948160327592763
65,318.0,150.0,4237.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11.024476064250031
66,91.0,68.0,1985.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,35.44970363937362
67,140.0,86.0,2790.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,30.594009204440457
68,250.0,78.0,3574.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,20.043630100867066
69,400.0,150.0,3761.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.203404080442166
70,200.0,107.60913705583756,2875.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18.99547412596145
71,70.0,100.0,2420.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,29.60455944623009
72,108.0,75.0,2350.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,34.022842571633824
73,360.0,215.0,4615.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.166256024212242
74,91.0,69.0,2130.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,30.884550122680455
75,70.0,90.0,2124.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,19.977360014433344
76,250.0,88.0,3021.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18.276589267938604
77,350.0,145.0,3988.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12.981371021140482
78,400.0,230.0,4278.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.231162544697298
79,267.0,125.0,3605.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,19.782635743430482
80,97.0,67.0,1985.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,31.481259724532848
81,86.0,65.0,1975.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,32.21790263204855
82,156.0,105.0,2745.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,25.640303741246257
83,173.0,115.0,2595.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,21.5553312984124
84,122.0,80.0,2451.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,24.878193595461592
85,91.0,67.0,1995.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36.24422732983967
86,225.0,100.0,3630.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19.62719385154785
87,350.0,125.0,3900.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,20.62053668437594
88,318.0,150.0,4096.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.108487598031878
89,307.0,130.0,4098.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14.408800348149263
90,121.0,115.0,2671.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22.49636241914259
91,112.0,88.0,2605.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,30.439331214993352
92,318.0,150.0,4498.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.364716112169166
93,121.0,98.0,2945.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22.942525217911275
94,250.0,88.0,3302.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.930250309958378
95,400.0,170.0,4668.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11.986658450012225
96,107.0,75.0,2205.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.239714981473
97,97.5,80.0,2126.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,24.05952589498638
98,429.0,198.0,4952.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7.1767863849758555
99,108.0,94.0,2379.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23.266919666605354
100,85.0,52.0,2035.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27.64909560448807
101,98.0,80.0,2164.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,23.94179758872979
102,250.0,110.0,3520.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19.744836100089906
103,258.0,110.0,3632.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17.52053410398796
104,113.0,95.0,2372.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.070379646827444
105,98.0,68.0,2155.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,29.348216066445566
106,232.0,90.0,3265.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,22.612650092453226
107,305.0,140.0,4215.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,14.452607473362203
108,225.0,105.0,3439.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.537469680743754
109,250.0,100.0,3282.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.027540292857843
110,351.0,153.0,4129.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.417854243206474
111,122.0,86.0,2226.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,23.777811039975134
112,140.0,107.60913705583756,2905.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,30.027263708282952
113,98.0,83.0,2219.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,26.799253480807295
114,429.0,208.0,4633.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8.988527521280194
115,97.0,46.0,1950.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,27.764232948988898
116,302.0,137.0,4042.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12.382521212131149
117,350.0,145.0,4440.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.674224946010906
118,231.0,105.0,3535.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20.68350414174712
119,260.0,110.0,3365.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21.875507949282834
120,91.0,68.0,2025.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36.061668717263444
121,400.0,190.0,4325.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,14.245689109178933
122,351.0,142.0,4054.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,18.745828711245146
123,200.0,85.0,2965.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,23.54658902728353
124,360.0,150.0,3940.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,18.68450577301449
125,250.0,72.0,3158.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,21.33112073066197
126,130.0,102.0,3150.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22.731238178899876
127,200.0,81.0,3012.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,20.59877695498891
128,350.0,145.0,4055.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15.586938255617078
129,97.0,67.0,2065.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,35.39227440187005
130,98.0,66.0,1800.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,30.71322285337482
131,107.0,72.0,2290.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,36.764915365162324
132,121.0,76.0,2511.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25.50716341610812
133,305.0,145.0,3425.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19.83791053054998
134,350.0,165.0,3693.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.113660460672712
135,225.0,85.0,3465.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,25.581749208497115
136,163.0,125.0,3140.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,20.807921209619433
137,141.0,71.0,3190.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,28.23707946839501
138,120.0,88.0,2160.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,34.62871314483079
139,151.0,90.0,3003.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,31.36279730045506
140,97.0,75.0,2155.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,28.15187967977299
141,360.0,170.0,4654.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8.923540565127237
142,156.0,92.0,2585.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,31.15787101150002
143,340.0,160.0,3609.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.581328875710511
144,350.0,150.0,4699.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.084107590602432
145,97.0,88.0,2130.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.95867943690186
146,225.0,100.0,3430.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21.31091935275753
147,98.0,83.0,2075.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,27.400414359972373
148,116.0,75.0,2246.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,27.75329456809954
149,250.0,100.0,3336.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,19.155425971186432
150,200.0,95.0,3155.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,22.093843077099056
151,455.0,225.0,3086.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.643480335184407
152,119.0,97.0,2545.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,24.930095859741144
153,173.0,115.0,2700.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,21.199438403542693
154,200.0,88.0,3060.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26.15830280462685
155,79.0,70.0,2074.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27.61048334888273
156,350.0,180.0,4380.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,11.654742518120948
157,91.0,53.0,1795.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,30.410707293383197
158,304.0,120.0,3962.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,16.90549638949622
159,400.0,167.0,4906.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9.19770457240978
160,91.0,67.0,1965.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36.34591101408816
161,200.0,85.0,2587.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.63303375021018
162,91.0,53.0,1795.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,31.018479988467096
163,134.0,95.0,2515.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,29.2454402564236
164,455.0,225.0,4951.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.572246186759848
165,225.0,105.0,3613.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17.25862062207839
166,250.0,72.0,3432.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20.402409747859107
167,140.0,75.0,2542.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25.372684704707186
168,171.0,97.0,2984.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,18.149790605386148
169,455.0,225.0,4425.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.104998561560201
170,318.0,210.0,4382.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.43040766836156
171,86.0,65.0,2110.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,37.476158829704445
172,232.0,90.0,3085.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,20.332018037690585
173,318.0,150.0,3436.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.489328877994865
174,121.0,115.0,2795.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,25.795849899615675
175,134.0,95.0,2560.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,29.092914730050865
176,250.0,110.0,3645.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,17.21498100832469
177,101.0,83.0,2202.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,26.83894666613883
178,120.0,74.0,2635.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,33.40342715059691
179,350.0,175.0,4100.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10.175504083447308
180,302.0,129.0,3169.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,18.213403951265057
181,163.0,133.0,3410.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,19.24576862476113
182,85.0,70.0,1990.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,28.849809933782375
183,351.0,158.0,4363.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10.681092954023441
184,115.0,95.0,2694.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,23.903051168942184
185,318.0,150.0,4457.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.195810240884267
186,98.0,70.0,2125.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,33.21203011337314
187,350.0,105.0,3725.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26.228800158189664
188,70.0,97.0,2330.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20.25226146137235
189,155.0,107.0,2472.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16.497281897740663
190,86.0,65.0,2019.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,37.784599338591526
191,168.0,116.0,2900.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,26.23150957094034
192,225.0,95.0,3785.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16.792257022088936
193,107.0,86.0,2464.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,25.841136697550148
194,114.0,91.0,2582.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22.359139814983507
195,156.0,105.0,2800.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,30.94844324353542
196,111.0,80.0,2155.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,27.65972935887194
197,400.0,180.0,4220.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15.410331287326024
198,97.0,78.0,1940.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30.14896367394551
